,Unnamed: 0,sku,name,brewery,category,sub_category_1,sub_category_2,region,country,abv,ibu,food_pairing,suggested_glassware,serving_temp_f,serving_temp_c,beer_type
0,0,100001,Berkshire Easy Lite,Berkshire Brewing Company,Beer,Ale,IPA,Massachusetts,United States,4.50%,20.0,"Grilled chicken, Salad, Light pasta dishes",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,0
1,1,100813,Berkshire Brewing Inhopnito,Berkshire Brewing Company,Beer,Ale,IPA,Massachusetts,United States,6.20%,0.0,"Spicy Thai food, Grilled sausages, Sharp cheddar cheese","Pint Glass, Snifter/Goblet/Chalice",45-50° F,7.2-10.0° C,Craft
2,2,100814,Berkshire Lost Sailor IPA,Berkshire Brewing Company,Beer,Ale,IPA,Massachusetts,United States,5.80%,55.0,"Spicy Thai curry, Grilled chicken, Sharp cheddar cheese","Pint Glass, Snifter/Goblet/Chalice",45-50° F,7.2-10.0° C,Craft
3,3,101754,Berkshire Green Gown DIPA,Berkshire Brewing Company,Beer,Ale,IPA,"South Deerfield, Massachusetts",United States,8.50%,80.0,"Spicy Thai curry, Grilled pork chops, Sharp cheddar cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,0
4,4,101755,Berkshire Green Gown Double IPA,Berkshire Brewing Company,Beer,Ale,IPA,"South Deerfield, Massachusetts",United States,8.50%,75.0,"Spicy Thai curry, Grilled steak, Sharp cheddar cheese","Pint Glass, Snifter/Goblet/Chalice",45-50° F,7.2-10.0° C,0
5,5,103268,Berkshire Brewing Gold Spike Golden Ale,Berkshire Brewing Company,Beer,Ale,Golden / Blonde Ale,"South Deerfield, Massachusetts",United States,4.20%,22.0,"Grilled chicken, Salad, Seafood",Pint Glass,45-50° F,7.2-10.0° C,0
6,6,103269,Berkshire Brewing River Ale,Berkshire Brewing Company,Beer,Ale,Brown Ale,Massachusetts,United States,5.20%,25.0,"Grilled chicken, Spicy sausage, Sharp cheddar cheese",Pint Glass,45-50° F,7.2-10.0° C,Craft
7,7,103270,Berkshire Brewing (BBC) Lost Sailor IPA,Berkshire Brewing Company,Beer,Ale,IPA,Massachusetts,United States,5.80%,55.0,"Spicy Thai curry, Grilled chicken, Sharp cheddar cheese","Pint Glass, Snifter/Goblet/Chalice",45-50° F,7.2-10.0° C,Craft
8,8,103271,Berkshire Brewing Jalapenito IPA,Berkshire Brewing Company,Beer,Ale,IPA,"South Deerfield, Massachusetts",United States,6.20%,60.0,"Spicy Mexican dishes, Grilled chicken, Pepper jack cheese","Pint Glass, Snifter/Goblet/Chalice",45-50° F,7.2-10.0° C,0
9,9,103272,Berkshire Jalapenito IPA,Berkshire Brewing Company,Beer,Ale,IPA,Massachusetts,United States,6.20%,45.0,"Spicy Mexican dishes, Grilled chicken, Pepper jack cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,0
10,10,103273,Berkshire Brewing Co. Black IPA,Berkshire Brewing Company,Beer,Ale,IPA,"South Deerfield, Massachusetts",United States,5.00%,45.0,"Spicy BBQ ribs, Sharp cheddar cheese, Dark chocolate.",Pint Glass,45-50° F,7.2-10.0° C,Craft
11,11,103274,Berkshire Brewing Company Green Gown DIPA,Berkshire Brewing Company,Beer,Ale,IPA,Massachusetts,United States,8.50%,80.0,"Spicy Thai curry, Grilled steak, Dark chocolate.",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,0
12,12,103275,Berkshire Brewing Tiger Lily Double IPA,Berkshire Brewing Company,Beer,Ale,IPA,"South Deerfield, Massachusetts",United States,8.00%,85.0,"Spicy Thai curry, Grilled steak, Sharp cheddar cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,0
13,13,103276,Berkshire Spontaneous Creation: Alpha Imperial IPA,Berkshire Brewing Company,Beer,Ale,IPA,"South Deerfield, Massachusetts",United States,8.00%,85.0,"Spicy Thai curry, Grilled steak, Sharp cheddar cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,0
14,14,103277,Berkshire BLDG8 The Hazy NEIPA,Berkshire Brewing Company,Beer,Ale,IPA,"South Deerfield, Massachusetts",United States,6.50%,35.0,"Spicy Thai curry, Grilled chicken, Citrus salad",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,0
15,15,103278,Berkshire Brewing Company Easy Like Mosaic NEIPA,Berkshire Brewing Company,Beer,Ale,IPA,"South Deerfield, Massachusetts",United States,6.80%,35.0,"Spicy Thai curry, Grilled chicken, Citrus salad",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,0
16,16,103279,Berkshire Dandy Lion Haze NEIPA,Berkshire Brewing Company,Beer,Ale,IPA,"South Deerfield, Massachusetts",United States,6.70%,40.0,"Spicy Thai curry, Grilled chicken, Citrus salad",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,0
17,17,103280,Berkshire Easy Like Citra NEIPA,Berkshire Brewing Company,Beer,Ale,IPA,"South Deerfield, Massachusetts",United States,6.70%,35.0,"Spicy Thai curry, Grilled chicken, Citrus salad",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,0
18,18,103281,Berkshire Weave Got Hops NEIPA,Berkshire Brewing Company,Beer,Ale,IPA,"South Deerfield, Massachusetts",United States,7.50%,40.0,"Spicy Thai curry, Grilled chicken tacos, Sharp cheddar cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,0
19,19,103282,Easy Like Mosaic NEIPA,Berkshire Brewing Company,Beer,Ale,IPA,"South Deerfield, Massachusetts",United States,6.70%,45.0,"Spicy Thai curry, Grilled chicken tacos, Citrus glazed salmon",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,0
20,20,103283,Berkshire Session IPA,Berkshire Brewing Company,Beer,Ale,IPA,Massachusetts,United States,4.00%,30.0,"Spicy Thai curry, Grilled chicken, Citrus salad",Pint Glass,45-50° F,7.2-10.0° C,Craft
21,21,112848,Berkshire Brewing Turkey Trotter Rotator Brown Ale,Berkshire Brewing Company,Beer,Ale,Brown Ale,Massachusetts,United States,7.50%,25.0,"Turkey, Roasted Vegetables, Chocolate Cake",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,0
22,22,113209,Berkshire Shea Theater's Rebellion,Berkshire Brewing Company,Beer,Ale,IPA,Massachusetts,United States,6.20%,40.0,"Spicy BBQ Ribs, Sharp Cheddar Cheese, Chocolate Desserts","Pint Glass, Snifter/Goblet/Chalice",45-50° F,7.2-10.0° C,Craft
23,23,114454,Berkshire Brewing Company Dandy Lion Haze NEIPA,Berkshire Brewing Company,Beer,Ale,IPA,"South Deerfield, Massachusetts",United States,6.80%,45.0,"Spicy Thai food, Grilled chicken, Citrus salad",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,0
